"","Month","demo","50%","2.5%","97.5%","avg","ci_min","ci_max"
"1","December","IndJuvF",0.138871606347389,0.0768398875433976,0.237185832734583,0.138871606347389,0.0768398875433976,0.237185832734583
"2","January","IndJuvF",0.137886995712217,0.0758849795648457,0.235823873243675,0.137886995712217,0.0758849795648457,0.235823873243675
"3","February","IndJuvF",0.137755869119406,0.0765980885866512,0.235520326313241,0.137755869119406,0.0765980885866512,0.235520326313241
"4","March","IndJuvF",0.131987128127335,0.0721861351817739,0.225747082625716,0.131987128127335,0.0721861351817739,0.225747082625716
"5","April","IndJuvF",0.132149407333924,0.0725951664252404,0.224258471152282,0.132149407333924,0.0725951664252404,0.224258471152282
"6","May","IndJuvF",0.132873893336889,0.0719890199386017,0.225307713430994,0.132873893336889,0.0719890199386017,0.225307713430994
"7","June","IndJuvF",0.125531493504424,0.0409268794762268,0.300252922264851,0.125531493504424,0.0409268794762268,0.300252922264851
"8","July","IndJuvF",0.124551636508082,0.0396723619421114,0.300160574236378,0.124551636508082,0.0396723619421114,0.300160574236378
"9","August","IndJuvF",0.125587839639953,0.0400600699752084,0.297239385607085,0.125587839639953,0.0400600699752084,0.297239385607085
"10","December","IndJuvM",0.191324268229895,0.103667980125315,0.329682075999381,0.191324268229895,0.103667980125315,0.329682075999381
"11","January","IndJuvM",0.189556945608201,0.103108287549522,0.330622946622765,0.189556945608201,0.103108287549522,0.330622946622765
"12","February","IndJuvM",0.190421301174136,0.103858794749147,0.335769131215737,0.190421301174136,0.103858794749147,0.335769131215737
"13","March","IndJuvM",0.181854905729368,0.0988076757049689,0.312670032515246,0.181854905729368,0.0988076757049689,0.312670032515246
"14","April","IndJuvM",0.182498607510987,0.0979071263612869,0.312354695445837,0.182498607510987,0.0979071263612869,0.312354695445837
"15","May","IndJuvM",0.180691929920325,0.0971926273788152,0.31095305799089,0.180691929920325,0.0971926273788152,0.31095305799089
"16","June","IndJuvM",0.172766906654074,0.055368221073356,0.418875186904887,0.172766906654074,0.055368221073356,0.418875186904887
"17","July","IndJuvM",0.171169443090676,0.0552419675276112,0.416003877382893,0.171169443090676,0.0552419675276112,0.416003877382893
"18","August","IndJuvM",0.17146448379032,0.0552560626087039,0.418694330992668,0.17146448379032,0.0552560626087039,0.418694330992668
"19","December","IndAdF",0.186902123109758,0.11732116021738,0.296545487284721,0.186902123109758,0.11732116021738,0.296545487284721
"20","January","IndAdF",0.186732680453479,0.118049926784897,0.295169931471265,0.186732680453479,0.118049926784897,0.295169931471265
"21","February","IndAdF",0.186483353866121,0.11685041764562,0.297352802301283,0.186483353866121,0.11685041764562,0.297352802301283
"22","March","IndAdF",0.179743067149542,0.111886107999178,0.279240179765363,0.179743067149542,0.111886107999178,0.279240179765363
"23","April","IndAdF",0.179321177607434,0.112270462768333,0.279454847851837,0.179321177607434,0.112270462768333,0.279454847851837
"24","May","IndAdF",0.179459177871784,0.110862896480367,0.280320957057069,0.179459177871784,0.110862896480367,0.280320957057069
"25","June","IndAdF",0.171988089555562,0.0586988033579782,0.379014622715309,0.171988089555562,0.0586988033579782,0.379014622715309
"26","July","IndAdF",0.171904387215612,0.058086615348292,0.381602646408482,0.171904387215612,0.058086615348292,0.381602646408482
"27","August","IndAdF",0.171461574337909,0.0586439942243602,0.377168398605451,0.171461574337909,0.0586439942243602,0.377168398605451
"28","December","IndAdM",0.335611708476783,0.178753461197968,0.59380122892321,0.335611708476783,0.178753461197968,0.59380122892321
"29","January","IndAdM",0.339039613382254,0.17948970906032,0.597439795856106,0.339039613382254,0.17948970906032,0.597439795856106
"30","February","IndAdM",0.337021233495909,0.177334292923785,0.594577855787298,0.337021233495909,0.177334292923785,0.594577855787298
"31","March","IndAdM",0.322498978263223,0.168938268309244,0.561568145937992,0.322498978263223,0.168938268309244,0.561568145937992
"32","April","IndAdM",0.323490756809903,0.169987729787661,0.560123898698476,0.323490756809903,0.169987729787661,0.560123898698476
"33","May","IndAdM",0.323864242869824,0.170376746480391,0.559563913855705,0.323864242869824,0.170376746480391,0.559563913855705
"34","June","IndAdM",0.303635048324215,0.0947180698948169,0.752529160771956,0.303635048324215,0.0947180698948169,0.752529160771956
"35","July","IndAdM",0.303585280845119,0.0956330382740717,0.734196483990927,0.303585280845119,0.0956330382740717,0.734196483990927
"36","August","IndAdM",0.30490086153059,0.0970376379627449,0.742787272787066,0.30490086153059,0.0970376379627449,0.742787272787066
